year,TPES_Mtoe,TFC_Mtoe,iso3
1960,31.48,23.31,AUS
1961,32.66,24.12,AUS
1962,34.08,24.32,AUS
1963,35.96,26.38,AUS
1964,37.4,27.4,AUS
1965,39.44,28.92,AUS
1966,41.32,29.34,AUS
1967,43.57,30.95,AUS
1968,45.2,32.79,AUS
1969,46.51,34.34,AUS
1970,50.82,34.92,AUS
1971,51.61,36.08,AUS
1972,53.17,36.65,AUS
1973,57.06,39.58,AUS
1974,58.93,40.15,AUS
1975,60.38,41.1,AUS
1976,61.83,41.64,AUS
1977,66.29,43.85,AUS
1978,66.47,44.43,AUS
1979,67.98,45.65,AUS
1980,69.6,46.79,AUS
1981,70.08,46.6,AUS
1982,73.12,47.11,AUS
1983,70.01,45.43,AUS
1984,72.31,47.31,AUS
1985,72.53,49.31,AUS
1986,74.06,49.43,AUS
1987,77.62,50.55,AUS
1988,77.75,52.76,AUS
1989,84.09,54.85,AUS
1990,86.38,56.65,AUS
1991,85.17,56.21,AUS
1992,86.76,56.74,AUS
1993,90.94,58.83,AUS
1994,90.88,60.16,AUS
1995,92.7,62.27,AUS
1996,98.76,64.2,AUS
1997,101.28,65.67,AUS
1998,103.91,66.64,AUS
1999,106.18,67.68,AUS
2000,103.1,69.58,AUS
2001,110.3,70.23,AUS
2002,111.86,69.75,AUS
2003,110.79,70.87,AUS
2004,112.67,72.55,AUS
2005,113.48,72.23,AUS
2006,118.17,72.86,AUS
2007,122.22,74.99,AUS
2008,126.74,76.13,AUS
2009,127.13,75.59,AUS
2010,127.63,76.56,AUS
2011,128.35,78.31,AUS
2012,126.77,78.79,AUS
2013,126.49,80.88,AUS
2014,125.25,80.89,AUS
2015,125.3,81.3,AUS
2016,132.32,NA,AUS
1960,10.9,8.69,AUT
1961,11.01,8.59,AUT
1962,11.95,9.49,AUT
1963,13.09,10.49,AUT
1964,13.4,10.74,AUT
1965,13.46,11,AUT
1966,13.93,11.4,AUT
1967,14.17,11.75,AUT
1968,15.17,12.58,AUT
1969,16.23,13.36,AUT
1970,18.06,14.24,AUT
1971,18.82,14.57,AUT
1972,19.82,15.34,AUT
1973,21.48,16.61,AUT
1974,20.75,16.15,AUT
1975,20.12,15.97,AUT
1976,21.69,16.61,AUT
1977,21.17,16.79,AUT
1978,21.88,17.76,AUT
1979,23.7,18.87,AUT
1980,23.15,18.64,AUT
1981,21.93,17.8,AUT
1982,21.44,17.68,AUT
1983,21.5,17.77,AUT
1984,22.33,18.34,AUT
1985,23.09,18.97,AUT
1986,23.18,19.01,AUT
1987,24.05,19.49,AUT
1988,24.31,20.21,AUT
1989,23.92,19.96,AUT
1990,24.88,19.8,AUT
1991,26.48,21.29,AUT
1992,25.45,20.74,AUT
1993,25.74,21,AUT
1994,25.67,20.43,AUT
1995,26.81,21.31,AUT
1996,28.5,23.16,AUT
1997,28.29,22.89,AUT
1998,28.77,23.3,AUT
1999,28.71,23.51,AUT
2000,28.61,23.59,AUT
2001,30.23,25.03,AUT
2002,30.48,25.09,AUT
2003,32.13,26.49,AUT
2004,32.65,26.93,AUT
2005,33.54,27.27,AUT
2006,33.63,27.44,AUT
2007,33.22,26.96,AUT
2008,33.41,27.12,AUT
2009,31.64,26.31,AUT
2010,33.82,27.7,AUT
2011,32.86,26.59,AUT
2012,32.72,26.72,AUT
2013,33.25,27.44,AUT
2014,32.01,26.46,AUT
2015,32.79,27,AUT
2016,33.3,NA,AUT
1960,23.06,16.09,BEL
1961,23.61,16.67,BEL
1962,25.91,18.64,BEL
1963,28.27,20.59,BEL
1964,28.34,19.84,BEL
1965,29.49,21.33,BEL
1966,29.07,20.88,BEL
1967,30.5,21.92,BEL
1968,34.53,24.92,BEL
1969,37.4,27.05,BEL
1970,39.93,29.54,BEL
1971,39.66,29.24,BEL
1972,43.45,31.69,BEL
1973,45.99,33.73,BEL
1974,45.12,32.18,BEL
1975,42.32,30.75,BEL
1976,45.38,32.39,BEL
1977,45.12,32.33,BEL
1978,47.49,34.05,BEL
1979,49.01,34.83,BEL
1980,46.77,32.29,BEL
1981,43.53,29.87,BEL
1982,41.48,29.05,BEL
1983,40.96,27.91,BEL
1984,42.72,28.89,BEL
1985,44.11,30.19,BEL
1986,45.7,31.19,BEL
1987,46.66,31.33,BEL
1988,47.24,31.57,BEL
1989,47.69,31.83,BEL
1990,47.94,32.14,BEL
1991,50.08,34.05,BEL
1992,50.63,34.46,BEL
1993,49.44,34.12,BEL
1994,52.46,37.19,BEL
1995,53.4,37.95,BEL
1996,56.23,40.33,BEL
1997,56.24,39.9,BEL
1998,57.17,40.45,BEL
1999,57.4,40.68,BEL
2000,58.09,41.7,BEL
2001,57.93,42.62,BEL
2002,55.68,40.53,BEL
2003,57.98,41.76,BEL
2004,58.25,42.33,BEL
2005,58.2,41.86,BEL
2006,57.73,41.49,BEL
2007,56.64,40.72,BEL
2008,58.29,42.73,BEL
2009,55.9,39.75,BEL
2010,60.11,42.55,BEL
2011,56.22,39.56,BEL
2012,53.82,40.07,BEL
2013,55.86,41.95,BEL
2014,52.95,40.22,BEL
2015,53.27,41.83,BEL
2016,56.47,NA,BEL
1960,76.14,66.19,CAN
1961,78.71,67.41,CAN
1962,82.86,70.57,CAN
1963,89.02,74.05,CAN
1964,94.76,79.26,CAN
1965,101.42,83.85,CAN
1966,105.71,88.11,CAN
1967,113.44,93.43,CAN
1968,121.8,99.16,CAN
1969,128.08,105.38,CAN
1970,138.1,113.9,CAN
1971,141.35,116.62,CAN
1972,152.5,124.73,CAN
1973,159.35,131.43,CAN
1974,161.71,138.13,CAN
1975,165.95,131.79,CAN
1976,171.04,138.46,CAN
1977,176.32,143.69,CAN
1978,181.2,146.32,CAN
1979,190.28,153.23,CAN
1980,191.93,155.06,CAN
1981,187.52,150.53,CAN
1982,180.18,141.93,CAN
1983,179.51,140.65,CAN
1984,188.69,146.22,CAN
1985,192.99,150.6,CAN
1986,196.32,150.87,CAN
1987,202.88,153.26,CAN
1988,211.26,160.09,CAN
1989,217.21,163.5,CAN
1990,211.29,161.79,CAN
1991,210.77,160.31,CAN
1992,215.67,163.18,CAN
1993,222.9,167.32,CAN
1994,230.77,173.36,CAN
1995,233.83,177.26,CAN
1996,238.46,182.96,CAN
1997,240.93,185.37,CAN
1998,239.69,180.82,CAN
1999,246.48,187.34,CAN
2000,253.62,191.53,CAN
2001,249.92,185.09,CAN
2002,250.69,190.15,CAN
2003,263.95,196.79,CAN
2004,270.46,201.54,CAN
2005,272.4,195.72,CAN
2006,276.69,192.62,CAN
2007,278.41,198.8,CAN
2008,272.74,195.43,CAN
2009,262.48,185.12,CAN
2010,265.25,188.08,CAN
2011,270.73,195.38,CAN
2012,267.82,196.51,CAN
2013,270.83,197.66,CAN
2014,278.82,196.25,CAN
2015,270.19,193.42,CAN
2016,278.26,NA,CAN
1960,7.45,7.1,CHE
1961,7.91,7.58,CHE
1962,8.74,8.38,CHE
1963,10.65,10.14,CHE
1964,10.53,10.09,CHE
1965,11.38,10.85,CHE
1966,11.64,10.98,CHE
1967,12.23,11.45,CHE
1968,13.18,12.28,CHE
1969,14.33,13.29,CHE
1970,15.8,14.46,CHE
1971,16.39,15.18,CHE
1972,17.08,15.32,CHE
1973,18.91,16.67,CHE
1974,17.65,15.34,CHE
1975,17.18,14.69,CHE
1976,17.78,15.31,CHE
1977,18.08,15.64,CHE
1978,18.81,16.33,CHE
1979,19.15,16.02,CHE
1980,20.04,16.62,CHE
1981,19.66,16.01,CHE
1982,19.07,15.46,CHE
1983,20.37,16.66,CHE
1984,20.87,16.63,CHE
1985,22.08,17.84,CHE
1986,23.05,17.94,CHE
1987,22.46,17.61,CHE
1988,22.66,17.68,CHE
1989,22.19,17.74,CHE
1990,24.36,18.31,CHE
1991,24.73,19.26,CHE
1992,24.84,19.28,CHE
1993,24.22,18.65,CHE
1994,24.44,18.21,CHE
1995,24.09,18.71,CHE
1996,24.56,19.12,CHE
1997,24.99,18.68,CHE
1998,25.3,19.18,CHE
1999,25.34,19.6,CHE
2000,25.01,19.37,CHE
2001,26.56,19.95,CHE
2002,25.89,19.42,CHE
2003,26,20.01,CHE
2004,26.09,20.16,CHE
2005,25.94,20.44,CHE
2006,27.09,20.31,CHE
2007,25.76,19.67,CHE
2008,26.77,20.35,CHE
2009,26.96,19.93,CHE
2010,26.2,20.79,CHE
2011,25.36,19.21,CHE
2012,25.61,19.87,CHE
2013,26.73,20.34,CHE
2014,25.06,18.66,CHE
2015,24.53,18.94,CHE
2016,23.9,NA,CHE
1960,NA,NA,CHN
1961,NA,NA,CHN
1962,NA,NA,CHN
1963,NA,NA,CHN
1964,NA,NA,CHN
1965,NA,NA,CHN
1966,NA,NA,CHN
1967,NA,NA,CHN
1968,NA,NA,CHN
1969,NA,NA,CHN
1970,NA,NA,CHN
1971,391.06,336.68,CHN
1972,411.33,352.61,CHN
1973,426.61,363.51,CHN
1974,437.72,374.33,CHN
1975,483.39,409.57,CHN
1976,499.94,423.3,CHN
1977,544.57,458.97,CHN
1978,590.1,487.31,CHN
1979,599.86,490.58,CHN
1980,598.02,487.28,CHN
1981,593.5,488.78,CHN
1982,612.07,504.7,CHN
1983,636.41,523.83,CHN
1984,675.05,554.55,CHN
1985,691.33,562.43,CHN
1986,716.04,584.94,CHN
1987,752.78,614.13,CHN
1988,793.55,643.16,CHN
1989,810.03,652.17,CHN
1990,870.68,654.31,CHN
1991,847.95,676.93,CHN
1992,876.79,690.27,CHN
1993,928.76,719.14,CHN
1994,972.73,738.9,CHN
1995,1044.41,780.94,CHN
1996,1073.46,762.76,CHN
1997,1073.03,778.59,CHN
1998,1078.39,784.46,CHN
1999,1098.58,759.19,CHN
2000,1129.84,781.16,CHN
2001,1168.26,800.51,CHN
2002,1245.76,839.72,CHN
2003,1419.62,925.82,CHN
2004,1614.63,1076.26,CHN
2005,1781.39,1184.16,CHN
2006,1948.76,1273.68,CHN
2007,2097.56,1368.73,CHN
2008,2153.99,1417.32,CHN
2009,2296.94,1480.67,CHN
2010,2536.28,1578.85,CHN
2011,2721.49,1692.06,CHN
2012,2818.57,1747.1,CHN
2013,2908.73,1816.85,CHN
2014,2953.52,1868.17,CHN
2015,2973.25,1905.68,CHN
2016,NA,NA,CHN
1960,NA,NA,CZE
1961,NA,NA,CZE
1962,NA,NA,CZE
1963,NA,NA,CZE
1964,NA,NA,CZE
1965,NA,NA,CZE
1966,NA,NA,CZE
1967,NA,NA,CZE
1968,NA,NA,CZE
1969,NA,NA,CZE
1970,NA,NA,CZE
1971,45.38,32.61,CZE
1972,45.53,32.04,CZE
1973,45.16,31.35,CZE
1974,41.9,31.11,CZE
1975,43.68,32.21,CZE
1976,44.94,32.93,CZE
1977,48.05,35.2,CZE
1978,45.37,33.58,CZE
1979,48.41,36.86,CZE
1980,46.96,34.66,CZE
1981,47.05,34.74,CZE
1982,47.79,35.29,CZE
1983,47.97,35.67,CZE
1984,48.98,36.51,CZE
1985,49.25,37.3,CZE
1986,50.06,37.78,CZE
1987,51.51,39.42,CZE
1988,50.49,38.57,CZE
1989,49.1,36.5,CZE
1990,49.79,32.98,CZE
1991,45.24,29.28,CZE
1992,44.04,29.06,CZE
1993,42.67,28.2,CZE
1994,41.2,26.9,CZE
1995,41.74,27.43,CZE
1996,43.05,28,CZE
1997,43.38,27.43,CZE
1998,41.98,26.37,CZE
1999,39.15,25.57,CZE
2000,41.17,26.12,CZE
2001,42.26,26.71,CZE
2002,42.84,26.21,CZE
2003,44.72,27.34,CZE
2004,45.76,28.24,CZE
2005,45.24,28.09,CZE
2006,46.27,28.3,CZE
2007,46.2,27.48,CZE
2008,45.3,27.71,CZE
2009,42.57,26.52,CZE
2010,45.13,27.05,CZE
2011,43.52,26,CZE
2012,43.27,26.11,CZE
2013,43.23,25.81,CZE
2014,41.97,25.35,CZE
2015,42.15,25.52,CZE
2016,41.38,NA,CZE
1960,142.18,98.46,DEU
1961,146.34,102.08,DEU
1962,157.29,112.4,DEU
1963,170.45,123.62,DEU
1964,176.33,126.26,DEU
1965,180.67,130.83,DEU
1966,182.9,135.42,DEU
1967,183.79,136.09,DEU
1968,197.99,146.02,DEU
1969,215.97,159.52,DEU
1970,301.8,218.17,DEU
1971,305.05,218.23,DEU
1972,316.12,227.63,DEU
1973,334.7,241.71,DEU
1974,328.37,233,DEU
1975,313.51,226.41,DEU
1976,337.99,237.79,DEU
1977,338.91,239.52,DEU
1978,350.15,249.62,DEU
1979,366.05,260.34,DEU
1980,357.18,248.66,DEU
1981,344.96,239.29,DEU
1982,333.53,229.99,DEU
1983,333.46,232.79,DEU
1984,346.26,240.8,DEU
1985,357.21,248.32,DEU
1986,356.67,250.71,DEU
1987,359.34,251.85,DEU
1988,361.75,250.34,DEU
1989,355.54,242.72,DEU
1990,351.2,240.78,DEU
1991,344.29,237.95,DEU
1992,337.9,232.01,DEU
1993,334.58,232.44,DEU
1994,332.98,229.52,DEU
1995,336.49,233.3,DEU
1996,347.86,242.06,DEU
1997,344.82,239.04,DEU
1998,342.74,238.26,DEU
1999,334.96,233.71,DEU
2000,336.58,231.39,DEU
2001,346.68,235.42,DEU
2002,338.9,231.94,DEU
2003,337.05,234.3,DEU
2004,339.09,233.19,DEU
2005,337.07,230.67,DEU
2006,346.33,234.72,DEU
2007,328.03,220.38,DEU
2008,330.94,226.86,DEU
2009,309.88,215.09,DEU
2010,325.97,228.89,DEU
2011,309.49,218.5,DEU
2012,310.81,220.07,DEU
2013,317.6,225.33,DEU
2014,305.72,216.32,DEU
2015,307.79,220.17,DEU
2016,311.53,NA,DEU
1960,8.81,6.81,DNK
1961,9.33,7.47,DNK
1962,10.67,8.5,DNK
1963,11.72,9.29,DNK
1964,12.28,9.74,DNK
1965,13.43,10.77,DNK
1966,14.72,11.62,DNK
1967,14.8,11.69,DNK
1968,15.59,12.46,DNK
1969,18.1,14.21,DNK
1970,19.57,15.26,DNK
1971,18.51,14.67,DNK
1972,19.26,15,DNK
1973,18.99,15.31,DNK
1974,17.61,13.39,DNK
1975,17.47,13.6,DNK
1976,19,15.45,DNK
1977,19.49,15.51,DNK
1978,19.88,15.6,DNK
1979,20.57,16.11,DNK
1980,19.14,14.74,DNK
1981,17.32,13.54,DNK
1982,17.52,12.31,DNK
1983,16.54,12.69,DNK
1984,17.14,13.17,DNK
1985,19.3,14.23,DNK
1986,19.58,14.5,DNK
1987,19.58,14.52,DNK
1988,18.68,13.93,DNK
1989,17.52,13.52,DNK
1990,17.36,13.17,DNK
1991,19.25,13.96,DNK
1992,18.42,13.76,DNK
1993,18.92,14.25,DNK
1994,19.58,14.22,DNK
1995,19.4,14.51,DNK
1996,21.95,15.09,DNK
1997,20.34,14.73,DNK
1998,20.01,14.62,DNK
1999,19.17,14.55,DNK
2000,18.63,14.23,DNK
2001,19.21,14.58,DNK
2002,19,14.36,DNK
2003,20.1,14.68,DNK
2004,19.44,14.84,DNK
2005,18.9,14.92,DNK
2006,20.27,15.08,DNK
2007,19.78,15.13,DNK
2008,19.24,14.89,DNK
2009,18.39,14.26,DNK
2010,19.48,14.96,DNK
2011,17.99,14.25,DNK
2012,17.29,13.66,DNK
2013,17.15,13.5,DNK
2014,16.11,12.86,DNK
2015,16.1,13.31,DNK
2016,16.54,NA,DNK
1960,16.16,12.8,ESP
1961,17.14,13.75,ESP
1962,18.78,14.72,ESP
1963,19.51,16.08,ESP
1964,21.61,17.18,ESP
1965,22.84,17.95,ESP
1966,25.53,20.11,ESP
1967,28.81,21.75,ESP
1968,32.9,23.92,ESP
1969,35.11,26.96,ESP
1970,37.98,29.85,ESP
1971,42.61,32.79,ESP
1972,44.83,33.93,ESP
1973,51.57,38.54,ESP
1974,55.89,40.05,ESP
1975,57.49,40.19,ESP
1976,61.72,43.37,ESP
1977,60.65,44.74,ESP
1978,64.79,46.3,ESP
1979,65.78,49.24,ESP
1980,67.69,48.12,ESP
1981,68.72,46.34,ESP
1982,66.87,45.29,ESP
1983,68,46.49,ESP
1984,69.51,46.83,ESP
1985,70.91,47.45,ESP
1986,72.38,47.55,ESP
1987,74.15,49.12,ESP
1988,80.08,54.39,ESP
1989,88.1,58.4,ESP
1990,90.07,60.61,ESP
1991,93.43,63.15,ESP
1992,95.17,63.85,ESP
1993,91.28,62.34,ESP
1994,96.34,65.72,ESP
1995,100.78,68.86,ESP
1996,99.3,69.3,ESP
1997,105.54,73.23,ESP
1998,110.86,77.9,ESP
1999,116.23,80.09,ESP
2000,121.86,85.49,ESP
2001,125.04,89.59,ESP
2002,128.76,90.92,ESP
2003,133.2,96.03,ESP
2004,139,99.38,ESP
2005,141.93,102.06,ESP
2006,141.81,99.35,ESP
2007,143.82,101.75,ESP
2008,139.07,98,ESP
2009,127.85,90.94,ESP
2010,127.75,92.24,ESP
2011,125.72,88.84,ESP
2012,125.51,84.66,ESP
2013,117.11,81.09,ESP
2014,114.56,78.64,ESP
2015,118.92,79.77,ESP
2016,119.04,NA,ESP
1960,NA,NA,EST
1961,NA,NA,EST
1962,NA,NA,EST
1963,NA,NA,EST
1964,NA,NA,EST
1965,NA,NA,EST
1966,NA,NA,EST
1967,NA,NA,EST
1968,NA,NA,EST
1969,NA,NA,EST
1970,NA,NA,EST
1971,NA,NA,EST
1972,NA,NA,EST
1973,NA,NA,EST
1974,NA,NA,EST
1975,NA,NA,EST
1976,NA,NA,EST
1977,NA,NA,EST
1978,NA,NA,EST
1979,NA,NA,EST
1980,NA,NA,EST
1981,NA,NA,EST
1982,NA,NA,EST
1983,NA,NA,EST
1984,NA,NA,EST
1985,NA,NA,EST
1986,NA,NA,EST
1987,NA,NA,EST
1988,NA,NA,EST
1989,NA,NA,EST
1990,9.78,5.85,EST
1991,9.12,5.54,EST
1992,6.57,3.57,EST
1993,5.44,2.99,EST
1994,5.49,3.01,EST
1995,5.21,2.7,EST
1996,5.72,3.14,EST
1997,5.61,3.06,EST
1998,5.12,2.83,EST
1999,4.81,2.57,EST
2000,4.71,2.58,EST
2001,4.92,2.82,EST
2002,4.71,2.73,EST
2003,5.21,2.86,EST
2004,5.3,2.99,EST
2005,5.21,3.05,EST
2006,5.08,3.06,EST
2007,5.69,3.26,EST
2008,5.49,3.23,EST
2009,4.87,2.84,EST
2010,5.62,2.96,EST
2011,5.63,2.87,EST
2012,5.52,2.93,EST
2013,6.09,3.01,EST
2014,5.99,2.89,EST
2015,5.42,2.84,EST
2016,5.97,NA,EST
1960,9.73,9.32,FIN
1961,10.05,9.51,FIN
1962,10.61,10.17,FIN
1963,11.21,10.71,FIN
1964,12.18,11.51,FIN
1965,13.18,12.57,FIN
1966,14.04,13.31,FIN
1967,14.4,13.56,FIN
1968,15.46,14.3,FIN
1969,16.96,15.25,FIN
1970,17.84,16.06,FIN
1971,18.17,16.25,FIN
1972,19.43,17.83,FIN
1973,21.03,19.19,FIN
1974,20.56,18.22,FIN
1975,19.7,17.38,FIN
1976,21.08,18.06,FIN
1977,21.4,18.12,FIN
1978,22.17,18.83,FIN
1979,23.65,19.59,FIN
1980,24.6,19.34,FIN
1981,23.69,19.22,FIN
1982,23.2,18.91,FIN
1983,23.42,19.24,FIN
1984,23.97,18.94,FIN
1985,25.83,18.99,FIN
1986,26.96,19.89,FIN
1987,29.4,21.3,FIN
1988,27.65,21.34,FIN
1989,28.56,22.03,FIN
1990,28.38,22.32,FIN
1991,28.79,22.14,FIN
1992,27.13,22.17,FIN
1993,28.46,22.08,FIN
1994,30.39,23.23,FIN
1995,28.92,22.38,FIN
1996,31.11,22.77,FIN
1997,32.26,23.43,FIN
1998,32.57,24.3,FIN
1999,32.46,24.37,FIN
2000,32.39,24.45,FIN
