year,TPES_Mtoe,TFC_Mtoe,iso3
1960,3.3,1.64,LUX
1961,3.34,1.69,LUX
1962,3.34,1.78,LUX
1963,3.39,1.75,LUX
1964,3.65,1.87,LUX
1965,3.62,2.12,LUX
1966,3.5,2.07,LUX
1967,3.47,2.14,LUX
1968,3.73,2.31,LUX
1969,4.04,2.53,LUX
1970,4.11,2.48,LUX
1971,4.06,2.45,LUX
1972,4.16,2.56,LUX
1973,4.43,2.87,LUX
1974,4.62,2.92,LUX
1975,3.77,2.55,LUX
1976,3.85,2.79,LUX
1977,3.71,2.71,LUX
1978,4.02,3.02,LUX
1979,3.79,2.85,LUX
1980,3.56,2.71,LUX
1981,3.11,2.41,LUX
1982,2.95,2.35,LUX
1983,2.77,2.21,LUX
1984,2.97,2.33,LUX
1985,3.06,2.43,LUX
1986,3.01,2.39,LUX
1987,2.94,2.4,LUX
1988,3.05,2.47,LUX
1989,3.28,2.68,LUX
1990,3.39,2.78,LUX
1991,3.62,3,LUX
1992,3.63,3.03,LUX
1993,3.68,3.1,LUX
1994,3.56,3.04,LUX
1995,3.15,2.8,LUX
1996,3.19,2.89,LUX
1997,3.11,2.9,LUX
1998,3,2.91,LUX
1999,3.13,3.04,LUX
2000,3.35,3.25,LUX
2001,3.52,3.4,LUX
2002,3.66,3.39,LUX
2003,3.86,3.62,LUX
2004,4.3,4.03,LUX
2005,4.39,4.09,LUX
2006,4.33,4.05,LUX
2007,4.21,3.95,LUX
2008,4.21,3.98,LUX
2009,3.96,3.7,LUX
2010,4.22,3.94,LUX
2011,4.18,3.93,LUX
2012,4.1,3.85,LUX
2013,3.97,3.8,LUX
2014,3.82,3.64,LUX
2015,3.73,3.57,LUX
2016,3.68,NA,LUX
1960,NA,NA,MEX
1961,NA,NA,MEX
1962,NA,NA,MEX
1963,NA,NA,MEX
1964,NA,NA,MEX
1965,NA,NA,MEX
1966,NA,NA,MEX
1967,NA,NA,MEX
1968,NA,NA,MEX
1969,NA,NA,MEX
1970,NA,NA,MEX
1971,42.97,34.33,MEX
1972,47.54,37.18,MEX
1973,52.56,39.74,MEX
1974,55.94,42.52,MEX
1975,59.14,46.13,MEX
1976,63.29,49.41,MEX
1977,68.44,50.89,MEX
1978,76.53,56.42,MEX
1979,83.96,61.13,MEX
1980,95.11,65.92,MEX
1981,101.56,72.95,MEX
1982,106.29,75.29,MEX
1983,100.07,74.54,MEX
1984,104.56,76.06,MEX
1985,108.61,79.07,MEX
1986,105.67,76.28,MEX
1987,111.13,80.05,MEX
1988,112.49,80.33,MEX
1989,117.51,84.09,MEX
1990,123.68,83.32,MEX
1991,129.85,86.12,MEX
1992,130.93,86.29,MEX
1993,133.13,86.36,MEX
1994,136.13,90.34,MEX
1995,131.78,87.02,MEX
1996,134.68,88.64,MEX
1997,141.73,89.33,MEX
1998,145.68,91.88,MEX
1999,149.89,91.93,MEX
2000,150.81,95.27,MEX
2001,155.27,93.01,MEX
2002,156.91,93.57,MEX
2003,168.14,97.35,MEX
2004,171.2,102.16,MEX
2005,180.58,105.99,MEX
2006,183.55,111.19,MEX
2007,182.77,113.51,MEX
2008,183.82,116.91,MEX
2009,179.89,110.93,MEX
2010,178.52,117.25,MEX
2011,186.92,120.32,MEX
2012,191.71,119.24,MEX
2013,191.9,119.57,MEX
2014,188.16,118.72,MEX
2015,187.37,119.81,MEX
2016,183.01,NA,MEX
1960,20.97,14.34,NLD
1961,21.87,15.05,NLD
1962,24.57,17.63,NLD
1963,27.14,20.08,NLD
1964,28.49,20.78,NLD
1965,30.65,22.3,NLD
1966,32.46,23.35,NLD
1967,34.81,25.16,NLD
1968,38.73,28.1,NLD
1969,43.31,31.48,NLD
1970,49.1,35.83,NLD
1971,50.87,37.57,NLD
1972,58.39,44.44,NLD
1973,62,47.65,NLD
1974,60.97,46.15,NLD
1975,59.02,45.82,NLD
1976,65.33,51.54,NLD
1977,63.19,49.89,NLD
1978,65,53.91,NLD
1979,68.35,58.16,NLD
1980,64.36,54.31,NLD
1981,60.83,52.54,NLD
1982,54.18,45.45,NLD
1983,56.55,48.04,NLD
1984,59.83,49.18,NLD
1985,60.64,50.53,NLD
1986,62.91,54.94,NLD
1987,64.35,52.89,NLD
1988,63.78,48.59,NLD
1989,64.2,48.43,NLD
1990,67.2,54.56,NLD
1991,69.77,56.54,NLD
1992,69.21,55.84,NLD
1993,70.6,56.87,NLD
1994,71.03,57.36,NLD
1995,73.85,58.41,NLD
1996,77.62,62.37,NLD
1997,75.48,60.13,NLD
1998,76.05,59.94,NLD
1999,74.86,59.86,NLD
2000,75.43,60,NLD
2001,77.7,61.01,NLD
2002,78.6,61.8,NLD
2003,81.57,64.18,NLD
2004,82.77,65.1,NLD
2005,81.39,64.52,NLD
2006,80.53,64.13,NLD
2007,80.43,63.16,NLD
2008,79.74,62.73,NLD
2009,78.05,61.16,NLD
2010,83.48,65.97,NLD
2011,77.42,60.81,NLD
2012,77.82,61.18,NLD
2013,77.34,61.27,NLD
2014,72.93,56.75,NLD
2015,73.83,56.55,NLD
2016,75.21,NA,NLD
1960,6.83,6.4,NOR
1961,6.99,6.61,NOR
1962,7.47,7.07,NOR
1963,8,7.61,NOR
1964,8.57,8.07,NOR
1965,9.46,8.8,NOR
1966,10.17,9.58,NOR
1967,10.66,9.94,NOR
1968,11.65,10.89,NOR
1969,12.29,11.54,NOR
1970,13.25,12.41,NOR
1971,13.33,12.42,NOR
1972,13.78,12.83,NOR
1973,14.29,13.36,NOR
1974,14.27,13.28,NOR
1975,14.63,13.37,NOR
1976,15.95,14.38,NOR
1977,16.42,14.62,NOR
1978,17.7,15.19,NOR
1979,18.19,16.49,NOR
1980,18.35,15.98,NOR
1981,18.1,15.73,NOR
1982,17.54,15.35,NOR
1983,18.28,15.7,NOR
1984,19.34,16.75,NOR
1985,20,17.3,NOR
1986,20.94,17.44,NOR
1987,21.14,17.85,NOR
1988,20.28,17.62,NOR
1989,21.07,17.35,NOR
1990,21.07,17.44,NOR
1991,21.76,17.23,NOR
1992,22.12,17.03,NOR
1993,23.54,17.52,NOR
1994,23.05,17.91,NOR
1995,23.5,18.59,NOR
1996,22.79,18.92,NOR
1997,24.12,18.85,NOR
1998,25.19,19.59,NOR
1999,26.38,19.81,NOR
2000,26.16,19.8,NOR
2001,26.88,20.38,NOR
2002,24.96,19.98,NOR
2003,27.08,20.22,NOR
2004,26.49,20.49,NOR
2005,26.83,20.45,NOR
2006,27.19,20.41,NOR
2007,27.61,20.87,NOR
2008,32.2,20.96,NOR
2009,31.31,20.03,NOR
2010,33.9,21.32,NOR
2011,27.98,20.45,NOR
2012,29.64,20.53,NOR
2013,32.61,20.68,NOR
2014,27.8,20.17,NOR
2015,29.62,20.55,NOR
2016,28.38,NA,NOR
1960,4,3.36,NZL
1961,4.27,3.53,NZL
1962,4.45,3.55,NZL
1963,4.87,3.73,NZL
1964,5.63,4.04,NZL
1965,5.89,4.3,NZL
1966,6.12,4.48,NZL
1967,5.96,4.46,NZL
1968,6.37,4.7,NZL
1969,6.58,4.78,NZL
1970,6.91,5.08,NZL
1971,6.83,5.09,NZL
1972,7.6,5.69,NZL
1973,7.88,5.83,NZL
1974,8.72,6.37,NZL
1975,8.55,6.5,NZL
1976,9.11,6.71,NZL
1977,9.53,6.79,NZL
1978,9.46,6.78,NZL
1979,8.81,6.65,NZL
1980,8.98,6.91,NZL
1981,8.91,6.84,NZL
1982,9.51,7.04,NZL
1983,9.84,7.21,NZL
1984,10.49,7.89,NZL
1985,11.2,7.95,NZL
1986,11.25,8.05,NZL
1987,11.31,8.27,NZL
1988,11.85,8.77,NZL
1989,12.69,8.94,NZL
1990,12.84,9.72,NZL
1991,13.16,9.85,NZL
1992,13.45,10,NZL
1993,14.17,10.29,NZL
1994,14.68,10.89,NZL
1995,14.89,11.39,NZL
1996,15.42,11.72,NZL
1997,16.11,11.88,NZL
1998,15.89,11.77,NZL
1999,16.53,12.27,NZL
2000,17.1,12.95,NZL
2001,17.12,12.93,NZL
2002,17.14,13.51,NZL
2003,16.92,12.82,NZL
2004,17.37,13.22,NZL
2005,16.94,12.55,NZL
2006,16.94,12.69,NZL
2007,17.13,12.74,NZL
2008,17.4,12.7,NZL
2009,17.54,12.55,NZL
2010,18.38,12.93,NZL
2011,18.33,12.73,NZL
2012,19.19,12.86,NZL
2013,19.32,13.26,NZL
2014,20.49,14.2,NZL
2015,20.63,14.08,NZL
2016,20.52,NA,NZL
1960,54.18,36.59,POL
1961,56.75,38.08,POL
1962,59.92,40.42,POL
1963,60.93,41.06,POL
1964,63.25,42.36,POL
1965,65.66,43.89,POL
1966,67.82,44.87,POL
1967,70.34,46.4,POL
1968,73.96,48.08,POL
1969,79.36,52.03,POL
1970,83.29,54.96,POL
1971,86.12,55.91,POL
1972,89.04,58.13,POL
1973,92.88,60.55,POL
1974,97.07,63.09,POL
1975,103.05,66.68,POL
1976,108.5,70.71,POL
1977,112.8,72.78,POL
1978,121.97,75.23,POL
1979,125.67,76.01,POL
1980,126.62,78.01,POL
1981,116.5,73.35,POL
1982,123.64,73.67,POL
1983,122.55,72.35,POL
1984,118.52,74.65,POL
1985,124.7,77.3,POL
1986,129.76,80.57,POL
1987,133.17,83.07,POL
1988,132.31,82.21,POL
1989,124.01,77.27,POL
1990,103.11,61.43,POL
1991,101.01,61.72,POL
1992,98.56,60.31,POL
1993,100.95,64.91,POL
1994,96.21,62.85,POL
1995,99.48,64.52,POL
1996,103.52,68.51,POL
1997,102.16,67.17,POL
1998,95.11,62.27,POL
1999,92.66,60.57,POL
2000,88.77,57.77,POL
2001,89.36,57.88,POL
2002,88.47,57.27,POL
2003,90.74,59.24,POL
2004,90.99,60.98,POL
2005,92.14,61.86,POL
2006,96.76,64.84,POL
2007,96.35,65.07,POL
2008,97.78,66.06,POL
2009,94.08,65.04,POL
2010,100.42,69.97,POL
2011,100.98,68.37,POL
2012,97.68,67.87,POL
2013,97.61,66.83,POL
2014,94.04,65.23,POL
2015,94.93,66.15,POL
2016,99.21,NA,POL
1960,2.98,2.65,PRT
1961,3.27,2.9,PRT
1962,3.27,2.93,PRT
1963,3.57,3.18,PRT
1964,3.71,3.31,PRT
1965,3.97,3.45,PRT
1966,4.03,3.64,PRT
1967,4.32,3.82,PRT
1968,4.39,3.83,PRT
1969,5.08,4.14,PRT
1970,5.76,4.72,PRT
1971,6.28,5.04,PRT
1972,6.43,5.31,PRT
1973,6.9,5.74,PRT
1974,7.22,5.91,PRT
1975,7.69,6.13,PRT
1976,8.16,6.37,PRT
1977,7.99,6.84,PRT
1978,8.76,7.23,PRT
1979,9.64,7.64,PRT
1980,9.99,7.91,PRT
1981,9.92,7.91,PRT
1982,11.09,8.63,PRT
1983,11.13,8.37,PRT
1984,11.15,8.74,PRT
1985,10.96,8.86,PRT
1986,12.12,9.43,PRT
1987,12.45,9.91,PRT
1988,13.02,10.9,PRT
1989,15.77,12.22,PRT
1990,16.78,13.39,PRT
1991,16.96,13.51,PRT
1992,18.05,14.01,PRT
1993,17.8,14.03,PRT
1994,18.26,14.73,PRT
1995,20.19,15.21,PRT
1996,19.99,15.8,PRT
1997,21.06,16.67,PRT
1998,22.76,17.86,PRT
1999,24.42,18.42,PRT
2000,24.59,19.36,PRT
2001,24.78,19.49,PRT
2002,25.81,19.95,PRT
2003,25.11,19.99,PRT
2004,25.82,20.41,PRT
2005,26.46,20.46,PRT
2006,25.15,19.7,PRT
2007,25.33,20.4,PRT
2008,24.68,19.51,PRT
2009,24.35,18.92,PRT
2010,23.5,18.95,PRT
2011,22.85,18.15,PRT
2012,21.44,16.39,PRT
2013,21.5,16.22,PRT
2014,21.17,16.19,PRT
2015,21.97,16.27,PRT
2016,21.43,NA,PRT
1960,NA,NA,SVK
1961,NA,NA,SVK
1962,NA,NA,SVK
1963,NA,NA,SVK
1964,NA,NA,SVK
1965,NA,NA,SVK
1966,NA,NA,SVK
1967,NA,NA,SVK
1968,NA,NA,SVK
1969,NA,NA,SVK
1970,NA,NA,SVK
1971,14.26,9.79,SVK
1972,14.82,10.16,SVK
1973,15.52,10.86,SVK
1974,16.25,11.16,SVK
1975,16.78,11.63,SVK
1976,17.39,11.85,SVK
1977,18.3,12.28,SVK
1978,19.21,13.12,SVK
1979,19.59,13.53,SVK
1980,19.84,13.03,SVK
1981,19.43,12.74,SVK
1982,18.98,12.35,SVK
1983,19.18,12.35,SVK
1984,20.16,12.98,SVK
1985,20.73,13,SVK
1986,20.67,12.56,SVK
1987,21.28,13.09,SVK
1988,21.56,13.42,SVK
1989,21.55,14.36,SVK
1990,21.33,15.75,SVK
1991,19.13,13.36,SVK
1992,18.09,12.41,SVK
1993,17.76,11.16,SVK
1994,17.43,10.82,SVK
1995,17.78,10.97,SVK
1996,18.08,11.65,SVK
1997,18.1,11.62,SVK
1998,17.55,11.44,SVK
1999,17.65,11.25,SVK
2000,17.74,11.42,SVK
2001,18.59,11.81,SVK
2002,18.73,11.92,SVK
2003,18.64,11.38,SVK
2004,18.35,11.29,SVK
2005,18.83,11.71,SVK
2006,18.64,11.39,SVK
2007,17.85,11.53,SVK
2008,18.32,11.82,SVK
2009,16.73,10.85,SVK
2010,17.83,11.44,SVK
2011,17.35,10.97,SVK
2012,16.66,10.24,SVK
2013,16.95,10.57,SVK
2014,15.95,9.74,SVK
2015,16.39,10.03,SVK
2016,16.52,NA,SVK
1960,NA,NA,SVN
1961,NA,NA,SVN
1962,NA,NA,SVN
1963,NA,NA,SVN
1964,NA,NA,SVN
1965,NA,NA,SVN
1966,NA,NA,SVN
1967,NA,NA,SVN
1968,NA,NA,SVN
1969,NA,NA,SVN
1970,NA,NA,SVN
1971,NA,NA,SVN
1972,NA,NA,SVN
1973,NA,NA,SVN
1974,NA,NA,SVN
1975,NA,NA,SVN
1976,NA,NA,SVN
1977,NA,NA,SVN
1978,NA,NA,SVN
1979,NA,NA,SVN
1980,NA,NA,SVN
1981,NA,NA,SVN
1982,NA,NA,SVN
1983,NA,NA,SVN
1984,NA,NA,SVN
1985,NA,NA,SVN
1986,NA,NA,SVN
1987,NA,NA,SVN
1988,NA,NA,SVN
1989,NA,NA,SVN
1990,5.71,3.69,SVN
1991,5.56,3.71,SVN
1992,5.16,3.39,SVN
1993,5.41,3.65,SVN
1994,5.63,3.88,SVN
1995,6.07,4.16,SVN
1996,6.32,4.59,SVN
1997,6.57,4.63,SVN
1998,6.45,4.55,SVN
1999,6.43,4.61,SVN
2000,6.41,4.65,SVN
2001,6.74,4.79,SVN
2002,6.83,4.75,SVN
2003,6.91,4.93,SVN
2004,7.13,5.08,SVN
2005,7.29,5.16,SVN
2006,7.32,5.24,SVN
2007,7.33,5.18,SVN
2008,7.76,5.52,SVN
2009,7.14,5.04,SVN
2010,7.33,5.22,SVN
2011,7.33,5.12,SVN
2012,7.04,5,SVN
2013,6.85,4.88,SVN
2014,6.65,4.71,SVN
2015,6.57,4.79,SVN
2016,6.77,NA,SVN
1960,20.2,18.63,SWE
1961,20.62,19.18,SWE
1962,21.83,20.29,SWE
1963,23.42,21.86,SWE
1964,25.08,23.36,SWE
1965,26.59,24.85,SWE
1966,28.39,26.54,SWE
1967,28.56,26.47,SWE
1968,31.66,28.97,SWE
1969,34.29,30.98,SWE
1970,37.65,32.85,SWE
1971,36.04,32.54,SWE
1972,36.77,33.01,SWE
1973,38.84,34.82,SWE
1974,36.81,33.07,SWE
1975,39.03,34.95,SWE
1976,42.36,36.8,SWE
1977,41.71,35.6,SWE
1978,41.52,34.37,SWE
1979,43.37,35.73,SWE
1980,40.49,34.6,SWE
1981,42.41,33.58,SWE
1982,40.61,31.66,SWE
1983,41.16,30.9,SWE
1984,43.49,30.77,SWE
1985,47.23,32.61,SWE
1986,49.2,33.38,SWE
1987,48.4,33.32,SWE
1988,49.39,33.13,SWE
1989,47.51,32.05,SWE
1990,47.2,32.12,SWE
1991,48.69,32.17,SWE
1992,46.54,34.09,SWE
1993,46.51,34.12,SWE
1994,49.7,35.01,SWE
1995,50.33,35.81,SWE
1996,51.5,36.84,SWE
1997,50.17,36.13,SWE
1998,51.07,36.24,SWE
1999,50.15,35.7,SWE
2000,47.56,35.3,SWE
2001,50.53,35.12,SWE
2002,51.78,35.53,SWE
2003,50.62,34.91,SWE
2004,52.59,34.76,SWE
2005,51.57,34.54,SWE
2006,50.21,34.23,SWE
2007,50.06,34.4,SWE
2008,49.6,33.25,SWE
2009,45.41,32.01,SWE
2010,50.9,34.86,SWE
2011,49.61,33,SWE
2012,50.15,32.92,SWE
2013,49.4,32.36,SWE
2014,48.22,31.9,SWE
2015,45.45,32.27,SWE
2016,48.2,NA,SWE
1960,10.69,9.73,TUR
1961,10.85,9.92,TUR
1962,11.85,10.42,TUR
1963,12.45,11.04,TUR
1964,13.12,11.29,TUR
1965,13.81,11.62,TUR
1966,15.17,12.46,TUR
1967,15.72,13.3,TUR
1968,16.53,13.83,TUR
1969,17.42,14.24,TUR
1970,18.21,15.15,TUR
1971,19.54,16.17,TUR
1972,22.07,18.62,TUR
1973,24.35,19.86,TUR
1974,25.2,20.4,TUR
1975,26.76,22.12,TUR
1976,29.12,24.27,TUR
1977,31.93,26.09,TUR
1978,31.8,26.62,TUR
1979,30.25,25.31,TUR
1980,31.45,26.32,TUR
1981,31.71,26.31,TUR
1982,33.7,28.12,TUR
1983,35.68,29.43,TUR
1984,37.11,30.01,TUR
1985,39.32,30.88,TUR
1986,42.36,32.52,TUR
1987,46.97,37.12,TUR
1988,47.29,37.92,TUR
1989,49.1,38.62,TUR
1990,52.7,40.17,TUR
1991,51.98,40.8,TUR
1992,53.63,42.02,TUR
1993,56.89,45.22,TUR
1994,56.21,43.08,TUR
1995,61.57,47.7,TUR
1996,66.92,51.58,TUR
1997,70.41,53.35,TUR
1998,71.74,53.46,TUR
1999,70.43,51.7,TUR
2000,75.92,57.91,TUR
2001,70.2,52.12,TUR
2002,74.21,57.31,TUR
2003,77.87,60.72,TUR
2004,80.72,63.27,TUR
2005,84.21,65.53,TUR
2006,93.15,72.59,TUR
2007,100,76.6,TUR
2008,98.7,74.53,TUR
2009,97.79,73.42,TUR
2010,106.65,77.88,TUR
2011,113.46,81.75,TUR
2012,118.14,87.38,TUR
2013,116.85,85.27,TUR
2014,121.5,85.55,TUR
2015,128.81,93.54,TUR
2016,134.57,NA,TUR
1960,1019.3,806.89,USA
1961,1030.89,817.8,USA
1962,1077.18,853.8,USA
1963,1132.95,896.14,USA
1964,1177.61,933.36,USA
1965,1225.64,961.71,USA
1966,1295.59,1014.59,USA
1967,1353.19,1079.54,USA
1968,1419.69,1139.18,USA
1969,1486.1,1168.25,USA
1970,1552.05,1203.19,USA
1971,1587.47,1228.61,USA
1972,1666.78,1280.57,USA
1973,1729.94,1315.37,USA
1974,1691.5,1271.72,USA
1975,1653.55,1228.14,USA
1976,1766.21,1295.21,USA
1977,1824.81,1336.29,USA
1978,1878.26,1361.42,USA
1979,1874.04,1370.01,USA
1980,1804.68,1311.29,USA
1981,1754.85,1288.24,USA
1982,1681.67,1228.08,USA
1983,1683.1,1213.1,USA
1984,1755.32,1282.31,USA
1985,1774.02,1269.38,USA
1986,1771.24,1267.98,USA
1987,1846.77,1310.73,USA
1988,1919.26,1367.95,USA
1989,1947.47,1325.34,USA
1990,1915.05,1293.5,USA
1991,1930.62,1295.07,USA
1992,1969.36,1302.77,USA
1993,2003.84,1325.47,USA
1994,2041.29,1357.1,USA
1995,2067.32,1377.69,USA
1996,2113.25,1421.42,USA
1997,2134.52,1439.29,USA
1998,2152.68,1437.81,USA
1999,2210.9,1490.43,USA
2000,2273.34,1546.23,USA
2001,2230.7,1519.86,USA
2002,2255.94,1523.46,USA
2003,2261.17,1539.31,USA
2004,2307.77,1567.68,USA
2005,2318.77,1563.04,USA
2006,2296.82,1558.66,USA
2007,2337.37,1576.04,USA
2008,2277.11,1532,USA
2009,2164.76,1451.93,USA
2010,2215.22,1512.42,USA
2011,2190.42,1498.78,USA
2012,2156.52,1472.02,USA
2013,2179.31,1506.43,USA
2014,2216.81,1531.43,USA
2015,2188.28,1520.14,USA
2016,2158.99,NA,USA
